orig_idx,k,flipped_indices,status,incorrect_count,correct_count,total_error_fixed
1,2,1;67,-1,0,0,2
1,2,1;75,-1,0,0,2
1,2,1;76,-1,0,0,2
1,2,1;79,-1,0,0,2
1,2,3;4,-1,0,0,2
1,2,3;5,-1,0,0,2
1,2,3;8,-1,0,0,2
1,2,3;9,-1,0,0,2
1,2,3;10,-1,0,0,2
1,2,3;11,-1,0,0,2
1,2,3;12,-1,0,0,2
1,2,3;13,-1,0,0,2
1,2,3;14,-1,0,0,2
1,2,3;15,-1,0,0,2
1,2,3;19,-1,0,0,2
1,2,3;23,-1,0,0,2
1,2,3;32,-1,0,0,2
1,2,3;33,-1,0,0,2
1,2,3;34,-1,0,0,2
1,2,3;35,-1,0,0,2
1,2,3;37,-1,0,0,2
1,2,3;42,-1,0,0,2
1,2,3;44,-1,0,0,2
1,2,3;46,-1,0,0,2
1,2,3;47,-1,0,0,2
1,2,3;48,-1,0,0,2
1,2,3;50,-1,0,0,2
1,2,3;51,-1,0,0,2
1,2,3;52,-1,0,0,2
1,2,3;53,-1,0,0,2
1,2,3;57,-1,0,0,2
1,2,3;60,-1,0,0,2
1,2,3;61,-1,0,0,2
1,2,3;66,-1,0,0,2
1,2,3;67,-1,0,0,2
1,2,3;75,-1,0,0,2
1,2,3;76,-1,0,0,2
1,2,3;79,-1,0,0,2
1,2,4;5,-1,0,0,2
1,2,4;8,-1,0,0,2
1,2,4;9,-1,0,0,2
1,2,4;10,-1,0,0,2
1,2,4;11,-1,0,0,2
1,2,4;12,-1,0,0,2
1,2,4;13,-1,0,0,2
1,2,4;14,-1,0,0,2
1,2,4;15,-1,0,0,2
1,2,4;19,-1,0,0,2
1,2,4;23,-1,0,0,2
1,2,4;32,-1,0,0,2
1,2,4;33,-1,0,0,2
1,2,4;34,-1,0,0,2
1,2,4;35,-1,0,0,2
1,2,4;37,-1,0,0,2
1,2,4;42,-1,0,0,2
1,2,4;44,-1,0,0,2
1,2,4;46,-1,0,0,2
1,2,4;47,-1,0,0,2
1,2,4;48,-1,0,0,2
1,2,4;50,-1,0,0,2
1,2,4;51,-1,0,0,2
1,2,4;52,-1,0,0,2
1,2,4;53,-1,0,0,2
1,2,4;57,-1,0,0,2
1,2,4;60,-1,0,0,2
1,2,4;61,-1,0,0,2
1,2,4;66,-1,0,0,2
1,2,4;67,-1,0,0,2
1,2,4;75,-1,0,0,2
1,2,4;76,-1,0,0,2
1,2,4;79,-1,0,0,2
1,2,5;8,-1,0,0,2
1,2,5;9,-1,0,0,2
1,2,5;10,-1,0,0,2
1,2,5;11,-1,0,0,2
1,2,5;12,-1,0,0,2
1,2,5;13,-1,0,0,2
1,2,5;14,-1,0,0,2
1,2,5;15,-1,0,0,2
1,2,5;19,-1,0,0,2
1,2,5;23,-1,0,0,2
1,2,5;32,-1,0,0,2
1,2,5;33,-1,0,0,2
1,2,5;34,-1,0,0,2
1,2,5;35,-1,0,0,2
1,2,5;37,-1,0,0,2
1,2,5;42,-1,0,0,2
1,2,5;44,-1,0,0,2
1,2,5;46,-1,0,0,2
1,2,5;47,-1,0,0,2
1,2,5;48,-1,0,0,2
1,2,5;50,-1,0,0,2
1,2,5;51,-1,0,0,2
1,2,5;52,-1,0,0,2
1,2,5;53,-1,0,0,2
1,2,5;57,-1,0,0,2
1,2,5;60,-1,0,0,2
1,2,5;61,-1,0,0,2
1,2,5;66,-1,0,0,2
1,2,5;67,-1,0,0,2
1,2,5;75,-1,0,0,2
1,2,5;76,-1,0,0,2
1,2,5;79,-1,0,0,2
1,2,8;9,-1,0,0,2
1,2,8;10,-1,0,0,2
1,2,8;11,-1,0,0,2
1,2,8;12,-1,0,0,2
1,2,8;13,-1,0,0,2
1,2,8;14,-1,0,0,2
1,2,8;15,-1,0,0,2
1,2,8;19,-1,0,0,2
1,2,8;23,-1,0,0,2
1,2,8;32,-1,0,0,2
1,2,8;33,-1,0,0,2
1,2,8;34,-1,0,0,2
1,2,8;35,-1,0,0,2
1,2,8;37,-1,0,0,2
1,2,8;42,-1,0,0,2
1,2,8;44,-1,0,0,2
1,2,8;46,-1,0,0,2
1,2,8;47,-1,0,0,2
1,2,8;48,-1,0,0,2
1,2,8;50,-1,0,0,2
1,2,8;51,-1,0,0,2
1,2,8;52,-1,0,0,2
1,2,8;53,-1,0,0,2
1,2,8;57,-1,0,0,2
1,2,8;60,-1,0,0,2
1,2,8;61,-1,0,0,2
1,2,8;66,-1,0,0,2
1,2,8;67,-1,0,0,2
1,2,8;75,-1,0,0,2
1,2,8;76,-1,0,0,2
1,2,8;79,-1,0,0,2
1,2,9;10,-1,0,0,2
1,2,9;11,-1,0,0,2
